Date,Type,Title,Episode Name,Season,Episode
148 BBY,TV,Star Wars: The Acolyte,Choice,1,7
148 BBY,TV,Star Wars: The Acolyte,Destiny,1,3
132 BBY,TV,Star Wars: The Acolyte,Lost / Found,1,1
132 BBY,TV,Star Wars: The Acolyte,Revenge / Justice,1,2
132 BBY,TV,Star Wars: The Acolyte,Day,1,4
132 BBY,TV,Star Wars: The Acolyte,Night,1,5
132 BBY,TV,Star Wars: The Acolyte,Teach / Corrupt,1,6
132 BBY,TV,Star Wars: The Acolyte,The Acolyte,1,8
60~50?BBY,TV,Star Wars: Tales of the Jedi,Justice,1,2
58~48 BBY,TV,Star Wars: Tales of the Underworld,The Good Life,1,4
50~48?BBY,TV,Star Wars: Tales of the Jedi,Choices,1,3
~40 BBY,TV,Star Wars: Tales of the Underworld,A Good Turn,1,5
36-35 BBY,TV,Star Wars: Tales of the Jedi,Life and Death,1,1
~33 BBY,TV,Star Wars: Tales of the Underworld,One Good Deed,1,6
32 BBY,Film,Star Wars: Episode I,The Phantom Menace,n/a,n/a
32 BBY,TV,Star Wars: Tales of the Jedi,The Sith Lord,1,4
22 BBY,Film,Star Wars: Episode II ,Attack of the Clones,n/a,n/a
22 BBY,TV,Star Wars: The Clone Wars,Cat and Mouse,2,16
22 BBY,TV,Star Wars: The Clone Wars,The Hidden Enemy,1,16
22 BBY,Film,Star Wars: The Clone Wars,n/a,n/a,n/a
22 BBY,TV,Star Wars: The Clone Wars,Clone Cadets,3,1
22 BBY,TV,Star Wars: The Clone Wars,Supply Lines,3,3
22 BBY,TV,Star Wars: The Clone Wars,Ambush,1,1
22 BBY,TV,Star Wars: The Clone Wars,Rising Malevolence,1,2
22 BBY,TV,Star Wars: The Clone Wars,Shadow of Malevolence,1,3
22 BBY,TV,Star Wars: The Clone Wars,Destroy Malevolence,1,4
22 BBY,TV,Star Wars: The Clone Wars,Rookies,1,5
22 BBY,TV,Star Wars: The Clone Wars,Downfall of a Droid,1,6
22 BBY,TV,Star Wars: The Clone Wars,Duel of the Droids,1,7
22 BBY,TV,Star Wars: The Clone Wars,Bombad Jedi,1,8
21 BBY,TV,Star Wars: The Clone Wars,Cloak of Darkness,1,9
21 BBY,TV,Star Wars: The Clone Wars,Lair of Grievous,1,10
21 BBY,TV,Star Wars: The Clone Wars,Dooku Captured,1,11
21 BBY,TV,Star Wars: The Clone Wars,The Gungan General,1,12
21 BBY,TV,Star Wars: The Clone Wars,Jedi Crash,1,13
21 BBY,TV,Star Wars: The Clone Wars,Defenders of Peace,1,14
21 BBY,TV,Star Wars: The Clone Wars,Trespass,1,15
21 BBY,TV,Star Wars: The Clone Wars,Blue Shadow Virus,1,17
21 BBY,TV,Star Wars: The Clone Wars,Mystery of a Thousand Moons,1,18
21 BBY,TV,Star Wars: The Clone Wars,Storm over Ryloth,1,19
21 BBY,TV,Star Wars: The Clone Wars,Innocents of Ryloth,1,20
21 BBY,TV,Star Wars: The Clone Wars,Liberty on Ryloth,1,21
21 BBY,TV,Star Wars: The Clone Wars,Holocron Heist,2,1
21 BBY,TV,Star Wars: The Clone Wars,Cargo of Doom,2,2
21 BBY,TV,Star Wars: The Clone Wars,Children of the Force,2,3
21 BBY,TV,Star Wars: The Clone Wars,Bounty Hunters,2,17
21 BBY,TV,Star Wars: The Clone Wars,The Zillo Beast,2,18
21 BBY,TV,Star Wars: The Clone Wars,The Zillo Beast Strikes Back,2,19
21 BBY,TV,Star Wars: The Clone Wars,Senate Spy,2,4
21 BBY,TV,Star Wars: The Clone Wars,Landing at Point Rain,2,5
21 BBY,TV,Star Wars: The Clone Wars,Weapons Factory,2,6
21 BBY,TV,Star Wars: The Clone Wars,Legacy of Terror,2,7
21 BBY,TV,Star Wars: The Clone Wars,Brain Invaders,2,8
21 BBY,TV,Star Wars: The Clone Wars,Grievous Intrigue,2,9
21 BBY,TV,Star Wars: The Clone Wars,The Deserter,2,10
21 BBY,TV,Star Wars: The Clone Wars,Lightsaber Lost,2,11
21 BBY,TV,Star Wars: The Clone Wars,The Mandalore Plot,2,12
21 BBY,TV,Star Wars: The Clone Wars,Voyage of Temptation,2,13
21 BBY,TV,Star Wars: The Clone Wars,Duchess of Mandalore,2,14
21 BBY,TV,Star Wars: The Clone Wars,Death Trap,2,20
21 BBY,TV,Star Wars: The Clone Wars,R2 Come Home,2,21
21 BBY,TV,Star Wars: The Clone Wars,Lethal Trackdown,2,22
21 BBY,TV,Star Wars: The Clone Wars,Corruption,3,5
21 BBY,TV,Star Wars: The Clone Wars,The Academy,3,6
21 BBY,TV,Star Wars: The Clone Wars,Assassin,3,7
21 BBY,TV,Star Wars: The Clone Wars,ARC Troopers,3,2
21 BBY,TV,Star Wars: The Clone Wars,Sphere of Influence,3,4
21 BBY,TV,Star Wars: The Clone Wars,Evil Plans,3,8
21 BBY,TV,Star Wars: The Clone Wars,Hostage Crisis,1,22
21 BBY,TV,Star Wars: The Clone Wars,Hunt for Ziro,3,9
21 BBY,TV,Star Wars: The Clone Wars,Heroes on Both Side,3,10
21 BBY,TV,Star Wars: The Clone Wars,Pursuit of Peace,3,11
21 BBY,TV,Star Wars: The Clone Wars,Senate Murders,2,15
21 BBY,TV,Star Wars: Tales of the Jedi,Practice Makes Perfect,1,5
20 BBY,TV,Star Wars: The Clone Wars,Nightsisters,3,12
20 BBY,TV,Star Wars: The Clone Wars,Monster,3,13
20 BBY,TV,Star Wars: The Clone Wars,Witches of the Mist,3,14
20 BBY,TV,Star Wars: The Clone Wars,Overlords,3,15
20 BBY,TV,Star Wars: The Clone Wars,Altar of Mortis,3,16
20 BBY,TV,Star Wars: The Clone Wars,Ghosts of Mortis,3,17
20 BBY,TV,Star Wars: The Clone Wars,The Citadel,3,18
20 BBY,TV,Star Wars: The Clone Wars,Counter Attack,3,19
20 BBY,TV,Star Wars: The Clone Wars,Citadel Rescue,3,20
20 BBY,TV,Star Wars: The Clone Wars,Padawan Lost,3,21
